load_average_1m,init_to_stop_ms,ebpf_to_userspace_ms
1.980,1.192,0.087
1.980,1.210,0.085
1.980,1.133,0.087
1.980,1.192,0.087
1.980,1.114,0.086
1.990,1.105,0.086
1.990,1.197,0.087
1.990,1.150,0.087
1.990,1.149,0.085
1.990,1.095,0.074
1.990,1.152,0.086
1.990,1.152,0.088
2.070,1.143,0.078
2.070,1.240,0.093
2.140,1.170,0.086
2.140,1.187,0.084
2.140,1.214,0.087
2.210,1.249,0.071
2.210,1.039,0.071
2.280,1.222,0.071
2.280,1.143,0.069
2.330,1.195,0.070
2.330,1.211,0.069
2.330,1.257,0.093
2.390,1.250,0.082
2.390,1.161,0.080
2.440,1.218,0.081
2.440,1.210,0.081
2.440,1.240,0.078
2.480,1.039,0.071
2.480,1.197,0.071
2.520,1.203,0.083
2.520,1.146,0.078
2.520,1.169,0.078
2.560,1.210,0.079
2.560,1.211,0.081
2.520,1.122,0.077
2.520,1.101,0.075
2.480,1.035,0.065
2.480,1.092,0.064
2.480,0.892,0.066
2.520,1.060,0.071
2.520,0.961,0.078
2.560,1.186,0.070
2.560,1.057,0.068
2.560,0.984,0.073
2.590,1.112,0.070
2.590,1.057,0.067
2.630,1.164,0.068
2.630,1.113,0.071
2.630,1.156,0.072
2.660,1.180,0.070
2.660,1.097,0.077
2.680,1.174,0.080
2.680,1.026,0.084
2.710,1.243,0.086
2.710,1.013,0.085
2.710,1.058,0.084
2.730,1.062,0.082
2.730,1.074,0.083
2.750,1.057,0.080
2.750,1.078,0.081
2.750,1.045,0.071
2.770,1.092,0.073
2.770,1.036,0.067
2.790,1.016,0.070
2.790,0.973,0.068
2.790,1.119,0.069
2.890,1.046,0.068
2.890,0.983,0.068
2.980,1.095,0.075
2.980,1.034,0.073
3.060,1.070,0.079
3.060,1.092,0.075
3.060,1.080,0.078
3.140,1.019,0.077
3.140,1.029,0.075
3.210,1.027,0.077
3.210,1.026,0.078
3.210,1.107,0.096
3.270,1.133,0.082
3.270,1.059,0.075
3.330,1.038,0.078
3.330,1.024,0.076
3.380,1.080,0.095
3.380,1.080,0.076
3.380,1.024,0.074
3.430,1.040,0.089
3.430,1.089,0.077
3.480,1.046,0.075
3.480,1.046,0.074
3.480,1.054,0.088
3.520,1.050,0.085
3.520,1.077,0.079
3.560,1.082,0.088
3.560,1.027,0.084
3.560,1.110,0.086
3.590,1.072,0.098
3.590,1.128,0.100
3.710,1.037,0.074
3.710,1.069,0.077
3.810,1.068,0.075
3.810,1.028,0.075
3.810,1.076,0.076
3.990,1.042,0.086
3.990,1.080,0.089
4.070,1.071,0.078
4.070,1.079,0.088
4.070,1.046,0.086
4.140,1.102,0.089
4.140,1.089,0.090
4.210,1.051,0.088
4.210,1.044,0.076
4.210,1.078,0.078
4.270,1.190,0.086
4.270,1.083,0.088
4.330,1.098,0.090
4.330,1.044,0.075
4.390,1.126,0.085
4.390,1.035,0.074
4.390,1.125,0.085
4.440,1.032,0.078
4.440,1.084,0.087
4.480,1.117,0.086
4.480,1.112,0.112
4.480,1.087,0.095
4.600,1.096,0.090
4.600,1.136,0.085
4.720,1.131,0.079
4.720,1.151,0.078
4.820,1.130,0.081
4.820,1.134,0.078
4.820,1.096,0.084
4.910,1.163,0.088
4.910,1.098,0.087
5.000,1.146,0.084
5.000,1.237,0.103
5.000,1.138,0.088
5.080,1.159,0.090
5.080,1.159,0.088
5.150,1.163,0.075
5.150,1.155,0.079
5.150,1.112,0.073
5.220,1.236,0.079
5.220,1.117,0.087
5.290,1.143,0.077
5.290,1.116,0.088
5.340,1.157,0.090
5.340,1.124,0.096
5.340,1.144,0.077
5.400,1.160,0.090
5.400,1.134,0.097
5.440,1.269,0.087
5.440,1.135,0.080
5.440,1.148,0.088
5.490,1.109,0.087
5.490,1.180,0.089
5.610,1.220,0.085
5.610,1.175,0.083
5.720,1.170,0.084
5.720,1.245,0.080
5.720,1.227,0.078
5.820,1.201,0.079
5.820,1.253,0.080
5.920,1.172,0.085
5.920,1.243,0.081
5.920,1.241,0.080
6.010,1.192,0.101
6.010,1.202,0.080
6.090,1.286,0.078
6.090,1.183,0.102
6.090,1.202,0.100
6.160,1.183,0.101
6.160,1.170,0.085
6.230,1.157,0.080
6.230,1.187,0.082
6.290,34.135,0.128
6.290,1.179,0.084
6.290,1.179,0.086
6.350,1.169,0.086
6.350,1.178,0.086
6.560,1.190,0.093
6.560,1.171,0.083
6.560,1.308,0.085
6.590,1.178,0.079
6.590,1.225,0.080
6.710,22.261,0.080
6.710,22.464,0.080
6.810,18.908,0.079
6.810,31.566,13.285
6.810,22.124,0.081
6.990,22.865,0.080
6.990,22.178,0.081
7.070,24.861,0.081
7.070,14.344,0.082
7.140,22.142,0.080
7.140,23.054,0.080
7.140,22.912,0.082
7.210,14.438,0.081
7.210,22.471,0.081
7.270,21.448,0.074
7.270,22.777,0.082
7.330,14.067,0.081
7.330,21.957,0.081
7.330,16.326,0.080
7.390,14.520,0.079
7.390,14.433,0.081
7.440,22.244,0.077
7.440,21.861,0.083
7.480,22.803,0.080
7.480,21.950,0.083
7.480,22.851,0.083
7.520,22.497,0.083
7.520,24.869,0.081
7.640,33.828,11.377
7.640,16.917,0.082
7.750,14.446,0.082
7.750,21.771,0.085
7.750,14.771,0.081
7.850,21.581,0.117
7.850,15.124,0.087
7.940,22.117,0.081
7.940,21.782,0.080
7.940,14.520,0.080
8.030,20.627,0.085
8.030,18.181,0.084
8.110,21.902,0.084
